;gauge_ID;issue_date;issue_time;fc_date;fc_value
1655;hybas_1122087880;2024-08-04;2024-08-04 13:20:48.269401+00:00;2024-08-10;31.3948974609375
1656;hybas_1122087880;2024-08-05;2024-08-05 13:42:31.370985+00:00;2024-08-04;35.04091262817383
1657;hybas_1122087880;2024-08-05;2024-08-05 13:42:31.370985+00:00;2024-08-05;34.096824645996094
1658;hybas_1122087880;2024-08-05;2024-08-05 13:42:31.370985+00:00;2024-08-06;33.56783676147461
1659;hybas_1122087880;2024-08-05;2024-08-05 13:42:31.370985+00:00;2024-08-07;33.456573486328125
1660;hybas_1122087880;2024-08-05;2024-08-05 13:42:31.370985+00:00;2024-08-08;33.03860092163086
1661;hybas_1122087880;2024-08-05;2024-08-05 13:42:31.370985+00:00;2024-08-09;32.90345764160156
1662;hybas_1122087880;2024-08-05;2024-08-05 13:42:31.370985+00:00;2024-08-10;32.384403228759766
1663;hybas_1122087880;2024-08-05;2024-08-05 13:42:31.370985+00:00;2024-08-11;31.91792106628418
1664;hybas_1122087880;2024-08-06;2024-08-06 13:03:55.874031+00:00;2024-08-05;34.67482376098633
1665;hybas_1122087880;2024-08-06;2024-08-06 13:03:55.874031+00:00;2024-08-06;33.77117156982422
1666;hybas_1122087880;2024-08-06;2024-08-06 13:03:55.874031+00:00;2024-08-07;33.645042419433594
1667;hybas_1122087880;2024-08-06;2024-08-06 13:03:55.874031+00:00;2024-08-08;33.09192657470703
1668;hybas_1122087880;2024-08-06;2024-08-06 13:03:55.874031+00:00;2024-08-09;32.773338317871094
1669;hybas_1122087880;2024-08-06;2024-08-06 13:03:55.874031+00:00;2024-08-10;32.34782028198242
1670;hybas_1122087880;2024-08-06;2024-08-06 13:03:55.874031+00:00;2024-08-11;31.60502052307129
1671;hybas_1122087880;2024-08-06;2024-08-06 13:03:55.874031+00:00;2024-08-12;30.525556564331055
1672;hybas_1122087880;2024-08-07;2024-08-07 13:25:30.097125+00:00;2024-08-06;33.9108772277832
1673;hybas_1122087880;2024-08-07;2024-08-07 13:25:30.097125+00:00;2024-08-07;33.34929656982422
1674;hybas_1122087880;2024-08-07;2024-08-07 13:25:30.097125+00:00;2024-08-08;33.14479446411133
1675;hybas_1122087880;2024-08-07;2024-08-07 13:25:30.097125+00:00;2024-08-09;32.90584182739258
1676;hybas_1122087880;2024-08-07;2024-08-07 13:25:30.097125+00:00;2024-08-10;32.52665710449219
1677;hybas_1122087880;2024-08-07;2024-08-07 13:25:30.097125+00:00;2024-08-11;31.967187881469727
1678;hybas_1122087880;2024-08-07;2024-08-07 13:25:30.097125+00:00;2024-08-12;30.671457290649414
1679;hybas_1122087880;2024-08-07;2024-08-07 13:25:30.097125+00:00;2024-08-13;31.35280990600586
1680;hybas_1122087880;2024-08-08;2024-08-08 13:45:29.460949+00:00;2024-08-07;33.77314376831055
1681;hybas_1122087880;2024-08-08;2024-08-08 13:45:29.460949+00:00;2024-08-08;33.467742919921875
1682;hybas_1122087880;2024-08-08;2024-08-08 13:45:29.460949+00:00;2024-08-09;33.19610595703125
1683;hybas_1122087880;2024-08-08;2024-08-08 13:45:29.460949+00:00;2024-08-10;32.914215087890625
1684;hybas_1122087880;2024-08-08;2024-08-08 13:45:29.460949+00:00;2024-08-11;32.12964630126953
1685;hybas_1122087880;2024-08-08;2024-08-08 13:45:29.460949+00:00;2024-08-12;31.355974197387695
1686;hybas_1122087880;2024-08-08;2024-08-08 13:45:29.460949+00:00;2024-08-13;32.155887603759766
1687;hybas_1122087880;2024-08-08;2024-08-08 13:45:29.460949+00:00;2024-08-14;31.499191284179688
1688;hybas_1122087880;2024-08-09;2024-08-09 13:05:16.813178+00:00;2024-08-08;34.20136642456055
1689;hybas_1122087880;2024-08-09;2024-08-09 13:05:16.813178+00:00;2024-08-09;34.366512298583984
1690;hybas_1122087880;2024-08-09;2024-08-09 13:05:16.813178+00:00;2024-08-10;33.96828842163086
1691;hybas_1122087880;2024-08-09;2024-08-09 13:05:16.813178+00:00;2024-08-11;33.99195861816406
1692;hybas_1122087880;2024-08-09;2024-08-09 13:05:16.813178+00:00;2024-08-12;31.956775665283203
1693;hybas_1122087880;2024-08-09;2024-08-09 13:05:16.813178+00:00;2024-08-13;32.80884552001953
1694;hybas_1122087880;2024-08-09;2024-08-09 13:05:16.813178+00:00;2024-08-14;32.060813903808594
1695;hybas_1122087880;2024-08-09;2024-08-09 13:05:16.813178+00:00;2024-08-15;31.796470642089844
1696;hybas_1122087880;2024-08-10;2024-08-10 19:30:42.846509+00:00;2024-08-09;34.51066589355469
1697;hybas_1122087880;2024-08-10;2024-08-10 19:30:42.846509+00:00;2024-08-10;33.94294357299805
1698;hybas_1122087880;2024-08-10;2024-08-10 19:30:42.846509+00:00;2024-08-11;34.013771057128906
1699;hybas_1122087880;2024-08-10;2024-08-10 19:30:42.846509+00:00;2024-08-12;31.92003059387207
1700;hybas_1122087880;2024-08-10;2024-08-10 19:30:42.846509+00:00;2024-08-13;32.66888427734375
1701;hybas_1122087880;2024-08-10;2024-08-10 19:30:42.846509+00:00;2024-08-14;31.84564781188965
1702;hybas_1122087880;2024-08-10;2024-08-10 19:30:42.846509+00:00;2024-08-15;32.05863571166992
1703;hybas_1122087880;2024-08-10;2024-08-10 19:30:42.846509+00:00;2024-08-16;31.403133392333984
1704;hybas_1122087880;2024-08-11;2024-08-11 13:45:03.807262+00:00;2024-08-10;34.11590576171875
1705;hybas_1122087880;2024-08-11;2024-08-11 13:45:03.807262+00:00;2024-08-11;33.44868087768555
1706;hybas_1122087880;2024-08-11;2024-08-11 13:45:03.807262+00:00;2024-08-12;31.59572982788086
1707;hybas_1122087880;2024-08-11;2024-08-11 13:45:03.807262+00:00;2024-08-13;31.804475784301758
1708;hybas_1122087880;2024-08-11;2024-08-11 13:45:03.807262+00:00;2024-08-14;31.43863868713379
1709;hybas_1122087880;2024-08-11;2024-08-11 13:45:03.807262+00:00;2024-08-15;31.395862579345703
1710;hybas_1122087880;2024-08-11;2024-08-11 13:45:03.807262+00:00;2024-08-16;31.030712127685547
1711;hybas_1122087880;2024-08-11;2024-08-11 13:45:03.807262+00:00;2024-08-17;30.670974731445312
1712;hybas_1122087880;2024-08-12;2024-08-12 13:05:10.899073+00:00;2024-08-11;34.069183349609375
1713;hybas_1122087880;2024-08-12;2024-08-12 13:05:10.899073+00:00;2024-08-12;31.512401580810547
1714;hybas_1122087880;2024-08-12;2024-08-12 13:05:10.899073+00:00;2024-08-13;31.533527374267578
1715;hybas_1122087880;2024-08-12;2024-08-12 13:05:10.899073+00:00;2024-08-14;30.876028060913086
1716;hybas_1122087880;2024-08-12;2024-08-12 13:05:10.899073+00:00;2024-08-15;30.976764678955078
1717;hybas_1122087880;2024-08-12;2024-08-12 13:05:10.899073+00:00;2024-08-16;31.064910888671875
1718;hybas_1122087880;2024-08-12;2024-08-12 13:05:10.899073+00:00;2024-08-17;30.945777893066406
1719;hybas_1122087880;2024-08-12;2024-08-12 13:05:10.899073+00:00;2024-08-18;30.523332595825195
